why_1,why_2,why_sub1,why_sub2,what1,what2,what_sub1,what_sub2
0,3,7,13,28,25,28,31
0,5,13,5,28,28,28,28
1,1,7,7,25,25,30,33
1,1,7,7,28,25,28,30
1,1,7,7,28,25,28,30
1,1,9,7,28,25,28,33
1,1,8,8,25,25,31,31
1,4,9,18,25,25,31,31
1,5,9,5,28,28,28,28
0,2,0,10,27,27,27,27
3,1,13,8,25,25,31,31
3,1,14,9,28,27,28,27
3,3,13,13,25,25,32,31
3,3,13,13,25,25,31,31
3,3,13,13,25,25,31,31
3,3,13,13,28,25,28,31
3,3,13,13,28,25,28,31
3,3,13,13,28,25,28,31
3,3,13,13,28,25,28,31
3,3,13,13,28,25,28,31
3,3,13,13,28,25,28,31
3,3,13,13,28,25,28,31
3,3,13,13,28,25,28,31
3,3,13,13,28,25,28,31
3,3,13,13,28,28,28,28
3,3,14,13,27,27,27,27
3,3,14,13,25,25,31,31
3,3,14,14,25,27,31,27
3,3,14,14,25,27,31,27
3,3,14,14,25,27,31,27
3,3,14,14,25,25,31,30
3,3,14,14,25,25,31,31
3,3,14,14,28,27,28,27
3,2,13,12,25,27,31,27
3,2,13,12,28,25,28,32
3,4,14,17,25,25,32,31
3,4,14,17,25,25,30,30
3,4,14,17,25,25,31,31
3,4,14,17,28,25,28,30
3,6,3,6,25,25,31,33
3,6,3,6,28,25,28,33
3,6,14,6,28,25,28,31
3,5,13,23,25,25,31,31
3,5,14,23,28,28,28,28
3,5,14,24,25,28,30,28
2,5,10,23,25,25,32,31
4,2,18,12,27,27,27,27
4,2,17,12,25,25,32,32
4,4,15,15,28,26,28,26
4,4,15,17,28,26,28,26
4,4,18,18,25,26,30,26
4,4,17,18,28,25,28,33
4,4,17,17,27,27,27,27
4,4,17,17,28,27,28,27
4,4,17,17,28,29,28,29
4,4,17,17,28,25,28,31
4,4,17,17,28,25,28,31
4,4,17,17,28,25,28,31
4,6,17,6,25,25,31,31
4,6,16,6,28,28,28,28
4,5,17,21,25,28,32,28
4,5,17,24,28,28,28,28
0,3,0,14,25,25,32,30
6,6,6,6,25,25,32,31
6,6,6,6,25,25,30,31
6,6,6,6,25,25,31,33
6,6,6,6,25,25,31,31
6,6,6,6,25,25,31,31
6,6,6,6,25,25,31,31
6,6,6,6,25,25,31,31
6,6,6,6,25,28,30,28
6,6,6,6,28,25,28,31
6,6,6,6,28,25,28,31
6,6,6,6,28,25,28,31
6,6,6,6,28,28,28,28
6,6,6,6,28,28,28,28
5,2,24,12,28,25,28,33
5,5,23,23,25,25,31,31
5,5,23,23,28,28,28,28
5,5,19,19,25,27,31,27
5,5,19,19,25,25,32,32
5,5,21,21,28,25,28,31
5,5,21,21,28,28,28,28
5,5,5,5,25,25,31,31
5,5,20,20,28,28,28,28
5,5,24,19,25,28,32,28
5,5,24,24,25,28,30,28
5,5,24,24,25,28,31,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
